date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,source_row_id
2026-03-01,2026,3,1,chokepoint1,Suez Canal,11,8,3,0,14,22,36,142708,529869,3036,0,247342,675614,922956,2217
2026-03-02,2026,3,2,chokepoint1,Suez Canal,10,11,7,1,11,29,40,166087,666734,15676,6258,431776,854757,1286534,2218
2026-03-03,2026,3,3,chokepoint1,Suez Canal,11,11,5,1,27,28,55,381101,429443,20777,4883,1676349,836205,2512554,2219
2026-03-04,2026,3,4,chokepoint1,Suez Canal,14,9,1,1,17,25,42,383185,409108,0,7267,766252,799562,1565815,2220
2026-03-05,2026,3,5,chokepoint1,Suez Canal,6,11,2,0,19,19,38,83037,349171,5222,0,974476,437431,1411908,2221
2026-03-06,2026,3,6,chokepoint1,Suez Canal,7,5,7,0,19,19,38,210553,838916,33009,0,797508,1082480,1879989,2222
2026-03-07,2026,3,7,chokepoint1,Suez Canal,12,13,2,1,23,28,51,211255,563439,36824,0,870474,811519,1681993,2223
2026-03-08,2026,3,8,chokepoint1,Suez Canal,7,10,4,3,11,24,35,138601,397485,17113,15807,737659,569007,1306667,2224
2026-03-09,2026,3,9,chokepoint1,Suez Canal,9,9,9,0,15,27,42,162820,340667,44578,0,826908,548066,1374975,2225
2026-03-10,2026,3,10,chokepoint1,Suez Canal,11,11,6,0,9,28,37,257632,379888,33319,0,334424,670841,1005265,2226
2026-03-11,2026,3,11,chokepoint1,Suez Canal,6,15,4,1,25,26,51,81106,616961,44187,7071,672697,749327,1422024,2227
2026-03-12,2026,3,12,chokepoint1,Suez Canal,15,7,4,1,11,27,38,366995,351335,3786,3406,330515,725524,1056040,2228
2026-03-13,2026,3,13,chokepoint1,Suez Canal,8,10,5,1,16,24,40,141276,364751,43815,2859,595681,552702,1148383,2229
2026-03-14,2026,3,14,chokepoint1,Suez Canal,1,6,3,0,15,10,25,20717,504757,21698,0,806903,547172,1354076,2230
2026-03-15,2026,3,15,chokepoint1,Suez Canal,14,13,3,1,17,31,48,259168,579297,2478,0,783528,840944,1624472,2231
