cik,ticker,entity_name,taxonomy,concept,unit,period_start,period_end,value,fiscal_year,fiscal_period,form,filed_date,frame,accession
0000320193,AAPL,Apple Inc.,us-gaap,Revenues,USD,2022-10-01,2023-09-30,383285000000,2023,FY,10-K,2023-11-03,,0000320193-23-000106
0000320193,AAPL,Apple Inc.,us-gaap,Revenues,USD,2022-10-01,2022-12-31,117154000000,2023,Q1,10-Q,2023-02-03,,0000320193-23-000064
0000320193,AAPL,Apple Inc.,us-gaap,Revenues,USD,2023-01-01,2023-04-01,94836000000,2023,Q2,10-Q,2023-05-05,,0000320193-23-000077
0000320193,AAPL,Apple Inc.,us-gaap,Revenues,USD,2023-04-02,2023-07-01,81797000000,2023,Q3,10-Q,2023-08-04,,0000320193-23-000094
0000320193,AAPL,Apple Inc.,us-gaap,Revenues,USD,2023-07-02,2023-09-30,89498000000,2023,Q4,10-K,2023-11-03,,0000320193-23-000106
0000320193,AAPL,Apple Inc.,us-gaap,NetIncomeLoss,USD,2022-10-01,2023-09-30,96995000000,2023,FY,10-K,2023-11-03,,0000320193-23-000106
0000320193,AAPL,Apple Inc.,us-gaap,OperatingIncomeLoss,USD,2022-10-01,2023-09-30,114301000000,2023,FY,10-K,2023-11-03,,0000320193-23-000106
0000320193,AAPL,Apple Inc.,us-gaap,DepreciationDepletionAndAmortization,USD,2022-10-01,2023-09-30,11519000000,2023,FY,10-K,2023-11-03,,0000320193-23-000106
0000320193,AAPL,Apple Inc.,us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,,2023-09-30,29965000000,2023,FY,10-K,2023-11-03,,0000320193-23-000106
0000320193,AAPL,Apple Inc.,us-gaap,LongTermDebt,USD,,2023-09-30,95281000000,2023,FY,10-K,2023-11-03,,0000320193-23-000106
0000789019,MSFT,Microsoft Corporation,us-gaap,Revenues,USD,2022-07-01,2023-06-30,211915000000,2023,FY,10-K,2023-07-27,,0000950170-23-035122
0000789019,MSFT,Microsoft Corporation,us-gaap,Revenues,USD,2022-07-01,2022-09-30,60000000000,2023,Q1,10-Q,2022-10-25,,0000950170-22-020629
0000789019,MSFT,Microsoft Corporation,us-gaap,Revenues,USD,2022-10-01,2022-12-31,60000000000,2023,Q2,10-Q,2023-01-24,,0000950170-23-001409
0000789019,MSFT,Microsoft Corporation,us-gaap,Revenues,USD,2023-01-01,2023-03-31,60000000000,2023,Q3,10-Q,2023-04-25,,0000950170-23-014423
0000789019,MSFT,Microsoft Corporation,us-gaap,Revenues,USD,2023-04-01,2023-06-30,60000000000,2023,Q4,10-K,2023-07-27,,0000950170-23-035122
0000789019,MSFT,Microsoft Corporation,us-gaap,NetIncomeLoss,USD,2022-07-01,2023-06-30,72361000000,2023,FY,10-K,2023-07-27,,0000950170-23-035122
0000901832,AZN,AstraZeneca PLC,ifrs-full,Revenue,USD,2023-01-01,2023-12-31,45811000000,2023,FY,20-F,2024-02-29,,0000901832-24-000012
0000901832,AZN,AstraZeneca PLC,ifrs-full,ProfitLoss,USD,2023-01-01,2023-12-31,5960000000,2023,FY,20-F,2024-02-29,,0000901832-24-000012
0001094517,TM,Toyota Motor Corporation,ifrs-full,Revenue,JPY,2023-04-01,2024-03-31,45095325000000,2024,FY,20-F,2024-06-25,,0001094517-24-000015
0001094517,TM,Toyota Motor Corporation,ifrs-full,ProfitLoss,JPY,2023-04-01,2024-03-31,4944933000000,2024,FY,20-F,2024-06-25,,0001094517-24-000015
0001114448,NVS,Novartis AG,ifrs-full,RevenueFromSaleOfGoods,USD,2023-01-01,2023-12-31,45440000000,2023,FY,20-F,2024-02-13,,0001114448-24-000004
0001114448,NVS,Novartis AG,ifrs-full,ProfitLoss,USD,2023-01-01,2023-12-31,14848000000,2023,FY,20-F,2024-02-13,,0001114448-24-000004
0001114448,NVS,Novartis AG,ifrs-full,ProfitLossFromOperatingActivities,USD,2023-01-01,2023-12-31,12000000000,2023,FY,20-F,2024-02-13,,0001114448-24-000004
0001114448,NVS,Novartis AG,ifrs-full,DepreciationAndAmortisationExpense,USD,2023-01-01,2023-12-31,5000000000,2023,FY,20-F,2024-02-13,,0001114448-24-000004
