canonical_concept,xbrl_tag,taxonomy,priority,statement
revenue,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap,1,income_statement
revenue,Revenue,ifrs-full,2,income_statement
revenue,RevenueFromContractsWithCustomers,ifrs-full,3,income_statement
revenue,Revenues,us-gaap,4,income_statement
revenue,SalesRevenueNet,us-gaap,5,income_statement
revenue,RevenueFromSaleOfGoods,ifrs-full,6,income_statement
revenue,RevenueAndOperatingIncome,ifrs-full,7,income_statement
cost_of_revenue,CostOfRevenue,us-gaap,1,income_statement
cost_of_revenue,CostOfGoodsAndServicesSold,us-gaap,2,income_statement
cost_of_revenue,CostOfSales,ifrs-full,3,income_statement
operating_income,OperatingIncomeLoss,us-gaap,1,income_statement
operating_income,ProfitLossFromOperatingActivities,ifrs-full,2,income_statement
net_income,NetIncomeLoss,us-gaap,1,income_statement
net_income,ProfitLoss,ifrs-full,2,income_statement
net_income,ProfitLoss,us-gaap,3,income_statement
depreciation_amortization,DepreciationDepletionAndAmortization,us-gaap,1,income_statement
depreciation_amortization,DepreciationAndAmortisationExpense,ifrs-full,2,income_statement
depreciation_amortization,DepreciationAmortizationAndAccretionNet,us-gaap,3,income_statement
cash_and_equivalents,CashAndCashEquivalentsAtCarryingValue,us-gaap,1,balance_sheet
cash_and_equivalents,CashAndCashEquivalents,ifrs-full,2,balance_sheet
total_debt,DebtLongtermAndShorttermCombinedAmount,us-gaap,1,balance_sheet
total_debt,LongTermDebt,us-gaap,2,balance_sheet
total_debt,LongTermDebtNoncurrent,us-gaap,3,balance_sheet
total_debt,Borrowings,ifrs-full,4,balance_sheet
